,GM,GM,GM,GM,GM,BMWYY,BMWYY,BMWYY,BMWYY,BMWYY,VLKAF,VLKAF,VLKAF,VLKAF,VLKAF,PUGOY,PUGOY,PUGOY,PUGOY,PUGOY
,c,h,l,o,v,c,h,l,o,v,c,h,l,o,v,c,h,l,o,v
t,,,,,,,,,,,,,,,,,,,,
1572615000,38.389999389648,38.490001678467,38.220001220703,38.349998474121,7782292.0,25.8,25.88,25.72,25.8,60900.0,192.0,193.0,188.54,188.95,2100.0,26.07,26.07,25.9,25.97,15400.0
1572877800,38.229999542236,38.889999389648,38.209999084473,38.610000610352,7317805.0,26.46,26.62,26.43,26.56,82600.0,196.4,197.5,194.25,194.25,2100.0,26.88,27.27,26.88,27.27,4000.0
1572964200,38.419998168945,38.479999542236,37.759998321533,38.369998931885,7280889.0,26.71,26.94,26.61,26.87,79100.0,195.0,199.1,195.0,199.1,600.0,27.03,27.03,26.86,26.9,3100.0
1573050600,38.490001678467,38.900001525879,38.459999084473,38.599998474121,8070100.0,27.02,27.11,26.77,26.86,33100.0,196.2,197.3,195.0,195.0,300.0,26.65,26.71,26.39,26.71,1700.0
1573137000,38.669998168945,38.669998168945,37.819999694824,38.419998168945,5913061.0,27.31,27.45,27.27,27.42,26500.0,200.0,203.12,197.25,197.25,2600.0,26.49,26.66,26.4,26.66,4100.0
1573223400,38.720001220703,38.799999237061,38.380001068115,38.599998474121,3907447.0,27.57,27.58,27.45,27.5,59700.0,199.5,201.0,194.7,200.5,600.0,26.41,26.55,26.41,26.53,2400.0
1573482600,38.590000152588,38.950000762939,38.360000610352,38.740001678467,12687640.0,27.55,27.64,27.51,27.51,113700.0,196.55,199.25,195.5,195.5,900.0,26.45,26.56,26.42,26.48,2300.0
1573569000,37.189998626709,38.400001525879,37.090000152588,38.400001525879,12558966.0,27.35,27.53,27.35,27.53,19500.0,198.0,201.0,196.25,196.25,700.0,26.4,26.88,26.35,26.88,80700.0
1573655400,36.799999237061,37.450000762939,36.689998626709,37.099998474121,13024434.0,26.97,27.01,26.86,26.92,33800.0,196.65,198.94,196.25,198.94,400.0,26.04,26.27,26.04,26.21,5000.0
1573741800,36.889999389648,37.110000610352,36.729999542236,37.0,12358880.0,26.95,26.97,26.85,26.93,21600.0,198.61,199.35,193.31,193.31,1500.0,26.1,26.28,26.0,26.13,3500.0
1573828200,36.619998931885,36.830001831055,36.389999389648,36.680000305176,9768476.0,27.37,27.41,27.32,27.33,26600.0,200.0,200.4,194.88,194.88,800.0,26.16,26.28,26.0,26.28,2800.0
1574087400,36.380001068115,36.700000762939,36.009998321533,36.669998168945,10538836.0,26.99,27.04,26.81,26.83,29700.0,192.1,196.1,190.12,196.05,400.0,25.44,25.57,25.28,25.43,7600.0
1574173800,35.279998779297,36.259998321533,35.180000305176,36.209999084473,14064739.0,27.03,27.27,26.99,27.25,28300.0,195.1,197.38,194.45,194.45,600.0,25.14,25.34,25.02,25.34,11200.0
1574260200,34.669998168945,35.580001831055,34.590000152588,35.529998779297,14379801.0,26.85,27.0,26.78,26.93,32200.0,195.56,196.9,193.0,196.9,400.0,24.36,25.03,24.36,24.9,4400.0
1574346600,35.330001831055,35.5,34.930000305176,35.270000457764,13567091.0,27.1,27.13,26.95,27.04,32700.0,196.0,196.0,193.05,196.0,1200.0,24.7,25.1,24.67,25.1,7000.0
1574433000,35.810001373291,35.889999389648,35.349998474121,35.450000762939,12211451.0,27.19,27.3,27.03,27.29,21900.0,193.65,195.9,193.05,194.3,300.0,24.94,25.07,24.85,25.0,19700.0
1574692200,35.909999847412,35.930000305176,35.509998321533,35.700000762939,8248704.0,27.23,27.25,27.16,27.18,23100.0,195.8,196.0,193.35,196.0,1200.0,24.74,24.8,24.6,24.8,4100.0
1574778600,36.139999389648,36.270000457764,35.849998474121,36.009998321533,5841215.0,27.07,27.11,26.99,27.06,15000.0,193.0,195.41,192.0,195.41,200.0,24.56,24.62,24.38,24.46,6000.0
1574865000,36.0,36.130001068115,35.849998474121,36.049999237061,3927026.0,27.43,27.44,27.27,27.32,99400.0,193.25,195.8,193.25,195.8,300.0,24.69,24.74,24.63,24.63,48700.0
1575037800,35.880001068115,36.360000610352,35.840000152588,36.009998321533,6785427.0,26.87,26.91,26.84,26.87,15600.0,191.0,193.22,190.36,190.36,400.0,24.27,24.27,24.06,24.25,2700.0
1575297000,35.529998779297,35.619998931885,34.959999084473,35.470001220703,8276601.0,26.55,26.68,26.46,26.68,60700.0,192.0,192.65,190.0,192.0,1700.0,23.81,23.95,23.77,23.93,10200.0
1575383400,35.799999237061,36.049999237061,35.680000305176,35.740001678467,8963211.0,26.73,26.73,26.35,26.46,70600.0,191.08,192.85,190.0,190.04,300.0,23.55,23.56,23.3,23.46,7700.0
1575469800,35.310001373291,35.650001525879,35.220001220703,35.599998474121,6893942.0,26.85,26.92,26.73,26.77,99600.0,191.5,191.5,190.73,191.5,1000.0,23.76,23.89,23.7,23.7,5900.0
1575556200,35.540000915527,35.759998321533,35.450000762939,35.639999389648,8404793.0,26.97,27.05,26.88,27.05,48900.0,193.95,195.55,188.75,188.75,100.0,23.58,23.66,23.47,23.57,9600.0
1575642600,35.380001068115,35.590000152588,35.349998474121,35.450000762939,7055524.0,27.21,27.21,27.08,27.14,36200.0,195.0,195.0,190.23,192.05,600.0,23.66,23.86,23.54,23.54,6400.0
1575901800,35.110000610352,35.380001068115,34.959999084473,35.349998474121,7597677.0,26.88,27.09,26.88,27.04,54500.0,191.39,196.05,191.0,192.69,15500.0,23.23,23.4,23.19,23.3,17600.0
